,Date,Country,Status,AQI Value
371,2022-07-22,Martinique,Moderate,57
372,2022-07-22,Mexico,Unhealthy for Sensitive Groups,108
373,2022-07-22,Moldova,Good,8
374,2022-07-22,Monaco,Good,43
375,2022-07-22,Mongolia,Good,50
376,2022-07-22,Montenegro,Good,40
377,2022-07-22,Myanmar,Good,19
378,2022-07-22,Nepal,Moderate,58
379,2022-07-22,Netherlands,Good,33
381,2022-07-22,New Zealand,Good,24
382,2022-07-22,Nigeria,Unhealthy for Sensitive Groups,105
383,2022-07-22,Norway,Moderate,63
384,2022-07-22,Pakistan,Moderate,91
385,2022-07-22,Palestinian Territory,Moderate,68
386,2022-07-22,Peru,Moderate,73
387,2022-07-22,Philippines,Moderate,83
388,2022-07-22,Poland,Moderate,75
389,2022-07-22,Portugal,Good,31
392,2022-07-22,Reunion,Good,23
393,2022-07-22,Romania,Moderate,54
394,2022-07-22,Russia,Unhealthy for Sensitive Groups,106
395,2022-07-22,San Marino,Moderate,56
397,2022-07-22,Serbia,Moderate,72
398,2022-07-22,Singapore,Moderate,55
399,2022-07-22,Slovakia,Moderate,60
400,2022-07-22,Slovenia,Moderate,64
401,2022-07-22,South Africa,Moderate,83
402,2022-07-22,South Korea,Moderate,75
403,2022-07-22,Spain,Moderate,88
404,2022-07-22,Sri Lanka,Moderate,62
406,2022-07-22,Sweden,Good,48
407,2022-07-22,Switzerland,Good,38
408,2022-07-22,Taiwan,Moderate,58
409,2022-07-22,Tajikistan,Moderate,75
410,2022-07-22,Thailand,Moderate,99
412,2022-07-22,Trinidad and Tobago,Good,35
413,2022-07-22,Turkey,Moderate,84
415,2022-07-22,Uganda,Unhealthy,161
416,2022-07-22,Ukraine,Good,43
417,2022-07-22,United Arab Emirates,Moderate,83
418,2022-07-22,United Kingdom of Great Britain and Northern Ireland,Good,49
419,2022-07-22,United States of America,Moderate,89
421,2022-07-22,Vatican,Moderate,61
423,2022-07-22,Vietnam,Moderate,76
427,2022-07-22,Andorra,Moderate,51
429,2022-07-22,Argentina,Moderate,61
430,2022-07-22,Armenia,Moderate,57
431,2022-07-22,Australia,Good,45
432,2022-07-22,Austria,Good,46
433,2022-07-22,Azerbaijan,Good,20
435,2022-07-22,Bangladesh,Unhealthy for Sensitive Groups,141
436,2022-07-22,Belarus,Good,25
437,2022-07-22,Belgium,Good,37
441,2022-07-22,Bosnia and Herzegovina,Moderate,78
442,2022-07-22,Brazil,Unhealthy for Sensitive Groups,111
443,2022-07-22,Brunei,Good,16
444,2022-07-22,Bulgaria,Good,39
447,2022-07-22,Canada,Moderate,63
448,2022-07-22,Cape Verde,Good,46
452,2022-07-22,Chile,Unhealthy,165
453,2022-07-22,China,Unhealthy,155
454,2022-07-22,Colombia,Moderate,66
456,2022-07-22,Croatia,Good,37
457,2022-07-22,Cyprus,Good,48
458,2022-07-22,Czech Republic,Moderate,79
459,2022-07-22,Denmark,Good,17
460,2022-07-22,Dominican Republic,Good,19
461,2022-07-22,Ecuador,Moderate,68
464,2022-07-22,Estonia,Good,23
465,2022-07-22,Ethiopia,Unhealthy for Sensitive Groups,132
466,2022-07-22,Finland,Good,47
467,2022-07-22,France,Moderate,65
468,2022-07-22,French Guiana,Good,8
471,2022-07-22,Georgia,Good,35
472,2022-07-22,Germany,Moderate,61
473,2022-07-22,Ghana,Unhealthy for Sensitive Groups,108
475,2022-07-22,Greece,Moderate,54
477,2022-07-22,Guadeloupe,Good,33
479,2022-07-22,Guatemala,Good,44
481,2022-07-22,Hong Kong,Moderate,67
483,2022-07-22,Iceland,Good,12
484,2022-07-22,India,Unhealthy,160
485,2022-07-22,Indonesia,Moderate,93
488,2022-07-22,Ireland,Good,20
489,2022-07-22,Israel,Unhealthy for Sensitive Groups,118
490,2022-07-22,Italy,Unhealthy for Sensitive Groups,106
492,2022-07-22,Japan,Moderate,94
494,2022-07-22,Jordan,Good,25
495,2022-07-22,Kazakhstan,Moderate,62
496,2022-07-22,Kenya,Moderate,65
498,2022-07-22,Kuwait,Unhealthy,181
499,2022-07-22,Kyrgyzstan,Good,39
500,2022-07-22,Laos,Good,12
501,2022-07-22,Latvia,Good,28
504,2022-07-22,Liechtenstein,Good,21
505,2022-07-22,Lithuania,Good,34
507,2022-07-22,Macao,Moderate,59
508,2022-07-22,Macedonia,Moderate,56
509,2022-07-22,Madagascar,Good,39
510,2022-07-22,Malaysia,Moderate,71
511,2022-07-22,Malta,Moderate,76
512,2022-07-22,Martinique,Moderate,53
513,2022-07-22,Mexico,Moderate,82
514,2022-07-22,Moldova,Good,11
515,2022-07-22,Monaco,Good,45
516,2022-07-22,Mongolia,Good,37
517,2022-07-22,Montenegro,Moderate,51
518,2022-07-22,Myanmar,Good,27
519,2022-07-22,Nepal,Good,48
520,2022-07-22,Netherlands,Good,28
522,2022-07-22,New Zealand,Good,34
523,2022-07-22,Nigeria,Unhealthy for Sensitive Groups,105
524,2022-07-22,Norway,Good,31
525,2022-07-22,Pakistan,Moderate,91
526,2022-07-22,Palestinian Territory,Moderate,76
527,2022-07-22,Peru,Unhealthy for Sensitive Groups,113
528,2022-07-22,Philippines,Moderate,83
529,2022-07-22,Poland,Moderate,76
530,2022-07-22,Portugal,Good,28
533,2022-07-22,Reunion,Good,25
534,2022-07-22,Romania,Moderate,55
535,2022-07-22,Russia,Moderate,59
536,2022-07-22,San Marino,Moderate,56
538,2022-07-22,Serbia,Moderate,71
539,2022-07-22,Singapore,Good,36
540,2022-07-22,Slovakia,Moderate,63
541,2022-07-22,Slovenia,Moderate,67
542,2022-07-22,South Africa,Moderate,83
543,2022-07-22,South Korea,Moderate,84
544,2022-07-22,Spain,Moderate,86
545,2022-07-22,Sri Lanka,Moderate,54
547,2022-07-22,Sweden,Good,33
548,2022-07-22,Switzerland,Good,28
549,2022-07-22,Taiwan,Moderate,72
550,2022-07-22,Tajikistan,Moderate,83
551,2022-07-22,Thailand,Moderate,72
553,2022-07-22,Trinidad and Tobago,Good,42
554,2022-07-22,Turkey,Moderate,89
556,2022-07-22,Uganda,Unhealthy,163
557,2022-07-22,Ukraine,Good,43
558,2022-07-22,United Arab Emirates,Moderate,83
559,2022-07-22,United Kingdom of Great Britain and Northern Ireland,Good,47
560,2022-07-22,United States of America,Moderate,89
562,2022-07-22,Vatican,Moderate,61
564,2022-07-22,Vietnam,Moderate,61
568,2022-07-22,Andorra,Good,37
570,2022-07-22,Argentina,Moderate,58
571,2022-07-22,Armenia,Good,47
572,2022-07-22,Australia,Good,42
573,2022-07-22,Austria,Moderate,52
574,2022-07-22,Azerbaijan,Good,25
576,2022-07-22,Bangladesh,Unhealthy for Sensitive Groups,141
577,2022-07-22,Belarus,Good,47
578,2022-07-22,Belgium,Good,43
582,2022-07-22,Bosnia and Herzegovina,Moderate,70
583,2022-07-22,Brazil,Moderate,91
584,2022-07-22,Brunei,Good,13
585,2022-07-22,Bulgaria,Good,36
588,2022-07-22,Canada,Moderate,57
589,2022-07-22,Cape Verde,Moderate,60
593,2022-07-22,Chile,Unhealthy for Sensitive Groups,112
594,2022-07-22,China,Unhealthy,162
595,2022-07-22,Colombia,Moderate,70
597,2022-07-22,Croatia,Moderate,61
598,2022-07-22,Cyprus,Moderate,53
599,2022-07-22,Czech Republic,Moderate,88
600,2022-07-22,Denmark,Good,16
601,2022-07-22,Dominican Republic,Good,33
602,2022-07-22,Ecuador,Moderate,53
605,2022-07-22,Estonia,Good,38
606,2022-07-22,Ethiopia,Unhealthy,157
607,2022-07-22,Finland,Moderate,61
608,2022-07-22,France,Moderate,71
609,2022-07-22,French Guiana,Good,13
612,2022-07-22,Georgia,Good,36
613,2022-07-22,Germany,Moderate,66
614,2022-07-22,Ghana,Moderate,95
616,2022-07-22,Greece,Moderate,51
618,2022-07-22,Guadeloupe,Good,12
620,2022-07-22,Guatemala,Good,20
622,2022-07-22,Hong Kong,Good,24
624,2022-07-22,Iceland,Good,10
